id,name,phone,o,u,k,d,addr,content,x y,url
120170915150248,社團法人臺南市臺南都志願服務協會(永華、溪南),2997220、2975678,身心障礙者,社區式服務,復康巴士,中西區,台南市中西區中華西路二段28巷66號,交通接送服務(東區、南區、北區、中西區、安南區、安平區、新化區、玉井區、南化區、左鎮區、善化區、新市區、安定區、山上區、楠西區、永康區、仁德區、歸仁區、關廟區、龍崎區),"[120.18839, 22.989772]",
202103081205040,財團法人台灣省台南市豐生基督教會,0937665860,老人福利,學習成長,長青學苑,北區,台南市北區六甲里21鄰公園路591之46號10樓之7,提供高齡者進修及休閒所開設之短期課程,"[120.2115399, 23.0129952]",
202103081205041,台南市北區正覺社區發展協會,06-2822827,老人福利,學習成長,長青學苑,北區,台南市北區正覺里26鄰公園路769巷20弄5號,提供高齡者進修及休閒所開設之短期課程,"[120.2149322, 23.0185045]",
202103081205042,台南市南區大成社區發展協會,0970638818,老人福利,學習成長,長青學苑,南區,台南市南區新興東路256號2樓,提供高齡者進修及休閒所開設之短期課程,"[120.1985756, 22.9799163]",
202103081205043,社團法人臺南市手牽手關懷協會,06-2385875,老人福利,學習成長,長青學苑,東區,台南市東區小東路246-1號2樓,提供高齡者進修及休閒所開設之短期課程,"[120.2291395, 22.9992701]",
202103081205044,台南市東區虎尾社區發展協會,0989-288-455,老人福利,學習成長,長青學苑,東區,台南市東區虎尾里富農街一段188巷10弄7號,提供高齡者進修及休閒所開設之短期課程,"[120.235004, 22.981565]",
20170602155420,頂廍社區活動中心,0910-747629,社福及社區,社區活動中心,社區活動中心,佳里區,臺南市 佳里區 下營里15鄰頂廍117號,提供社區居民舉行會議、辦理各式公益活動與情感交流的場所,"[120.14976, 23.173086]",http://tnda.tainan.gov.tw/acthouse/actpage.asp?mainid={766FE62E-BD1B-4B6C-BF21-72DBA91B5D41}
201710020902250,臺南市私立祐健老人長期照顧中心(養護型),06-2260303,老人福利,長期照顧,老人機構,中西區,臺南市中西區開山路90號2、3樓,養護服務：以生活自理能力缺損需他人照顧之老人，或需鼻胃管、導尿管護理服務需求之老人為服務對象。,"[120.20672519999994, 22.9899109]",https://www.facebook.com/%E5%8F%B0%E5%8D%97%E5%B8%82%E7%A7%81%E7%AB%8B%E7%A5%90%E5%81%A5%E8%80%81%E4%BA%BA%E9%A4%8A%E8%AD%B7%E4%B8%AD%E5%BF%83-154090651447844/
201710111101470,財團法人台南市私立長泰教養院,06-5982419,身心障礙者,機構式服務,身障福利機構,新化區,臺南市新化區北勢里北勢100之3號,收容身心障礙者(服務全區),"[120.28963410000006, 23.0478821]",http://www.chamtai.com.tw/
201710111101471,財團法人台南市私立長泰教養院新市分院,06-5970238,身心障礙者,機構式服務,身障福利機構,新市區,臺南市新市區永就里永新路78號,收容身心障礙者(服務全區),"[120.29094420000001, 23.0573532]",https://www.cctt.org.tw/
120181121170449,臺南市私立菩提林綜合式長照機構,06-6871797,老人福利,長期照顧,小規模多機能,後壁區,臺南市後壁區後壁里12鄰後壁193-1號,日間照顧、居家服務、夜間喘息,"[120.3663636, 23.3674821]",https://www.facebook.com/%E8%8F%A9%E6%8F%90%E6%9E%97%E5%B0%8F%E8%A6%8F%E6%A8%A1%E5%A4%9A%E6%A9%9F%E8%83%BD%E5%BE%8C%E5%A3%81%E6%97%A5%E7%85%A7%E4%B8%AD%E5%BF%83-495671094246921/?ti=as
120181121171033,臺南市私立菩提林綜合式長照機構,06-6871797,老人福利,長期照顧,居家服務單位,後壁區,臺南市後壁區後壁里12鄰後壁193-1號,身體照顧、日常生活照顧及家事等服務,"[120.3663636, 23.3674821]",
