國家/地區,确诊[註 1],死亡,治癒
 全球總計,"249,689,504","5,047,625",N/A
 美國,"47,579,403","778,868","37,635,832"
 印度,"34,388,060","461,829","33,776,438"
 巴西,"21,897,025","609,816","21,100,888"
 英國,"9,406,001","142,338",135
 俄羅斯,"8,911,713","250,454","7,654,161"
 土耳其,"8,315,424","72,713","7,793,631"
 法國,"7,244,040","118,056","427,519"
 伊朗,"6,012,408","127,686","5,643,381"
 阿根廷,"5,299,418","116,165","5,166,251"
 西班牙,"5,038,517","87,617","4,887,278"
 哥倫比亞,"5,019,158","127,610","4,862,352"
 德國,"4,856,523","97,522","4,415,900"
 義大利,"4,826,738","132,551","4,591,328"
 印尼,"4,249,323","143,592","4,096,194"
 墨西哥,"3,831,259","290,110","3,195,737"
 波蘭,"3,143,725","78,250","2,761,194"
 烏克蘭,"3,130,772","74,205","2,553,842"
 南非,"2,924,317","89,387","2,818,612"
 菲律賓,"2,809,311","44,665","2,735,508"
 馬來西亞,"2,517,173","29,427","2,425,943"
 荷兰,"2,236,744","18,637","2,007,790"
 秘魯,"2,208,891","200,502","832,267"
 伊拉克,"2,066,042","23,415","2,019,444"
 泰國,"1,989,473","19,826","1,873,184"
 捷克,"1,843,019","31,229","1,699,950"
 加拿大,"1,738,751","29,229","1,685,439"
 羅馬尼亞,"1,725,017","51,888","1,532,951"
 日本,"1,724,514","18,316","1,704,380"
 智利,"1,715,352","37,895","1,625,500"
 孟加拉国,"1,571,669","27,906","1,535,661"
 比利時,"1,448,962","26,230","1,236,828"
 以色列,"1,335,476","8,130","1,320,670"
 巴基斯坦,"1,278,114","28,566","1,226,590"
 塞爾維亞,"1,197,082","10,595","1,081,942"
 瑞典,"1,180,518","15,045","1,143,512"
 葡萄牙,"1,100,961","18,222","1,048,211"
 越南,"992,735","22,765","844,054"
 古巴,"957,332","8,274","946,615"
 哈薩克斯坦,"951,667","12,320","906,190"
 摩洛哥,"947,761","14,729","929,422"
 匈牙利,"923,020","31,619","813,376"
 奧地利,"911,175","11,577","813,987"
　瑞士,"901,223","11,319","839,676"
 約旦,"883,446","11,167","845,283"
　尼泊爾,"815,759","11,460","796,780"
 希臘,"808,297","16,493","718,364"
 格鲁吉亚,"766,818","10,662","700,568"
 阿聯酋,"739,654","2,135","733,782"
 突尼西亞,"712,139","25,221","685,570"
 黎巴嫩,"639,332","8,472","613,968"
 瓜地馬拉,"597,768","14,862","576,117"
 白俄罗斯,"594,203","4,580","567,058"
 保加利亞,"587,765","23,594","473,628"
 哥斯大黎加,"558,654","7,008","491,197"
 沙烏地阿拉伯,"548,474","8,788","537,453"
 斯里蘭卡,"538,718","13,674","511,863"
 亞塞拜然,"524,788","6,995","489,032"
 厄瓜多,"515,859","32,958","443,880"
 玻利維亞,"511,854","18,911","474,163"
 緬甸,"496,901","18,603","461,883"
 巴拿馬,"472,057","7,314","462,486"
 斯洛伐克,"470,008","12,977","418,800"
 巴拉圭,"460,894","16,238","444,343"
 克羅埃西亞,"458,090","9,142","426,566"
 愛爾蘭,"438,124","5,436","381,782"
 巴勒斯坦,"422,641","4,395","411,884"
 科威特,"412,594","2,461","409,717"
 委內瑞拉,"403,318","4,848","385,614"
 立陶宛,"399,532","5,766","354,595"
 烏拉圭,"392,879","6,076","384,911"
 宏都拉斯,"373,589","10,170","114,672"
 多明尼加,"373,040","4,093","362,793"
 丹麥,"371,286","2,694","358,833"
 衣索比亞,"360,503","6,287","330,821"
 利比亞,"351,756","4,945","283,674"
 韓國,"347,529","2,709","317,755"
 蒙古,"344,736","1,607","313,256"
 摩爾多瓦,"321,682","7,346","295,604"
