no,date,title,txt,attach
9,110/02/22,張竹芩領銜提出之「您是否同意立法院職權行使法應增列條文：第十屆立法委員應於2022年5月20日前審議通過憲法增修條文修正案，將前言『為因應國家統一前之需要』改為『為因應國家現階段之需要』，續依憲法增修條文第12條規定程序，送交全國公民投票複決」全國性公民投票案。,函通知提案人之領銜人，本案依法予以駁回,"[{'title': '本會函文', 'url': 'https://admin.cec.gov.tw/upload/file/2021-03-17/6f5f649c-40e2-4554-b9b4-3012a8c7aa78/0fc9e83054a157ff011b3a191414bebe.pdf'}]"
14,110/5/14,江啟臣領銜提出之「你是否同意公民投票案公告成立後半年內，若該期間內遇有全國性選舉時，在符合公民投票法規定之情形下，公民投票應與該選舉同日舉行？」全國性公民投票案,提報本會第558次委員會議審議,"[{'title': '委員會會議紀錄', 'url': 'https://www.cec.gov.tw/central/cms/meetingminutes/35368'}, {'title': '本會新聞稿', 'url': 'https://www.cec.gov.tw/central/cms/110news/35258'}, {'title': '成立公告', 'url': 'https://web.cec.gov.tw/central/cms/bulletin/35256'}]"
14,110/5/14,林為洲領銜提出之「你是否同意政府應全面禁止進口含有萊克多巴胺之乙型受體素豬隻之肉品、內臟及其相關產製品？」全國性公民投票案。,提報本會第558次委員會議審議,"[{'title': '委員會會議紀錄', 'url': 'https://www.cec.gov.tw/central/cms/meetingminutes/35368'}, {'title': '本會新聞稿', 'url': 'https://www.cec.gov.tw/central/cms/110news/35258'}, {'title': '成立公告', 'url': 'https://web.cec.gov.tw/central/cms/bulletin/35255'}]"
14,110/5/14,潘忠政領銜提出之「您是否同意中油第三天然氣接收站遷離桃園大潭藻礁海岸及海域？(即北起觀音溪出海口，南至新屋溪出海口之海岸，及由上述海岸最低潮線往外平行延伸五公里之海域)」全國性公民投票案。,提報本會第558次委員會議審議,"[{'title': '委員會會議紀錄', 'url': 'https://www.cec.gov.tw/central/cms/meetingminutes/35368'}, {'title': '本會新聞稿', 'url': 'https://www.cec.gov.tw/central/cms/110news/35258'}, {'title': '成立公告', 'url': 'https://web.cec.gov.tw/central/cms/bulletin/35257'}]"
9,109/10/23,辜寬敏領銜提出之「您是否同意要求總統推動制定一部符合台灣現狀的新憲法？」全國性公民投票案。,函通知提案人之領銜人，本案依法予以駁回,"[{'title': '本會函文', 'url': 'https://web.cec.gov.tw/upload/file/2020-10-30/e250bd8d-c56e-46c4-9508-e9e29f41a8b0/369f43281077277da67c381a0e51d883.pdf'}]"
8,109/10/23,辜寬敏領銜提出之「您是否同意要求總統啟動憲法改造工程？」全國性公民投票案。,函通知提案人之領銜人，本案依法予以駁回,"[{'title': '本會函文', 'url': 'https://web.cec.gov.tw/upload/file/2020-10-30/f0fec8cd-5966-479f-bb83-cce1227e6011/049835640e65fa5b5a456cd3c50ff93f.pdf'}]"
9,109/6/29,彭迦智領銜提出之「你是否同意：重新恢復政府於95年2月27日「終止」的«國統綱領»，因為終止不是廢除。«國統綱領»已清楚表明拒絕接受中共政權統治及反對一國兩制，「國統綱領」不卑不亢，是保護「中華民國」正統，捍衛「中華民國」主權及反制大陸「共產政權」的積極作為。」全國性公民投票案。,函通知提案人之領銜人，本案依法予以駁回,"[{'title': '本會函文', 'url': 'https://web.cec.gov.tw/upload/file/2020-07-03/db7621f4-53af-4e99-a3ba-787a688065cd/0830330ad128f074349cd411744c4637.pdf'}]"
10,109/6/30,彭迦智領銜提出之「你是否同意：於電業法增訂【非煤時間表】條文：「以民國108年為基準，每年至少降低5%之方式，於民國110年1月開始，逐年降低燃煤電廠發電量，並使燃煤發電設備最遲於民國130年12月全部停止運轉。」」全國性公民投票案。,函通知提案人之領銜人，本案依法予以駁回,"[{'title': '本會函文', 'url': 'https://web.cec.gov.tw/upload/file/2020-07-03/5f949873-6c37-4a7b-a51a-919f75c58997/8dc008abfe8afb4fe329f9cdfa73e73c.pdf'}]"
9,109/6/29,彭迦智領銜提出之「您是否同意：臺灣地區與大陸地區人民關係條例增訂：「臺灣地區在捍衛中華民國主權基礎上，拒絕大陸地區政府提出的一國兩制，兩岸應從接受對方國旗、國號和國際參與的方向彼此努力，兩岸以合作協商代替對抗鬥爭，全力發展和平經濟。」」全國性公民投票案。,函通知提案人之領銜人，本案依法予以駁回,"[{'title': '本會函文', 'url': 'https://web.cec.gov.tw/upload/file/2020-07-03/a4e6b745-9c6f-4bb9-a939-199dca91a3a1/273e6e5be28593107429f4a60ab22ccb.pdf'}]"
9,109/5/22,彭迦智領銜提出之「你是否同意政府應以『另立專法』方式，規範國營事業轉投資未達持股百分之五十之民營企業、政府捐助未達持股百分之五十之財團法人或政府指派及政府握有主導權的（民營企業、行政法人、基金會）等『負責人』之遴選、任用規範。」全國性公民投票案。,函通知提案人之領銜人，本案依法予以駁回,"[{'title': '本會函文', 'url': 'https://web.cec.gov.tw/upload/file/2020-06-16/fa472622-b893-4369-bc06-33413d9207ea/4b1943043ca447a51dfcda503a53a7df.pdf'}]"
10,109/6/24,彭迦智領銜提出之「你是否同意「中央或地方政府所持有之公有土地，無論大小皆禁止標售，土地全部以租賃或設定地上權為原則」公有土地永不賣斷，實踐居住正義人人有房，保護國土人人有責。」全國性公民投票案。,函通知提案人之領銜人，本案依法予以駁回,"[{'title': '本會函文', 'url': 'https://web.cec.gov.tw/upload/file/2020-07-03/523ef723-59e6-41e1-9df2-4fcbcaa3765e/24a0a3a1688cfe414ba61a85aacfdcbc.pdf'}]"
11,109/6/29,彭迦智領銜提出之「你是否同意，將優生保健法第三章第九條第一項第六款本文「因懷孕或生產，將影響其心理健康或家庭生活者。」修正為：「因懷孕或生產，將影響其心理健康或家庭生活者，並經六日思考後，醫師得依其自願，施行人工流產。」全國性公民投票案。,函通知提案人之領銜人，本案依法予以駁回,"[{'title': '本會函文', 'url': 'https://web.cec.gov.tw/upload/file/2020-07-03/4d614301-ff75-4415-a9a2-3c1935eebae0/c48bcca71787e53bbd79ad7a5a076022.pdf'}]"
9,109/1/17,彭迦智領銜提出「你是否同意「優生保健法施行細則第十五條第一項本文：人工流產應於妊娠二十四週內施行。」修正為「人工流產應於妊娠八週內施行。」但屬於優生保健法第九條所訂內容（例如：醫療行為、受性侵、亂倫者…等）不在此限。」全國性公民投票案,函通知提案人之領銜人，本案依法予以駁回,"[{'title': '本會函文', 'url': 'https://admin.cec.gov.tw/upload/file/2020-02-05/ab0b6aa5-10bd-47e4-8522-a831cd65569c/ba6bd312a9302bb87ada821b0c1da9f4.pdf'}]"
9,108/08/27,張善政領銜提出「您是否同意，訂定數位國家專法，設立直屬行政院之中央二級機關「數位創新委員會」，加速數位時代法規鬆綁、政策創新，以解決在醫療長照、教育、金融、交通等各種問題？」全國性公民投票案,函通知提案人之領銜人，本案依法予以駁回,"[{'title': '本會函文', 'url': 'https://web.cec.gov.tw/upload/file/2019-09-04/a76b93d0-7413-46f7-94a3-a551ee761667/7e8e9d0da7b7b715b990a961d2ac0475.pdf'}]"
9,108/08/27,李敏領銜提出「您是否同意，經濟部應要求台電公司提出現有核能電廠運轉執照更新之申請，經核能安全管制機關原子能委員會審查通過後，落實執行現有核能電廠延役？」全國性公民投票案,函通知提案人之領銜人，本案依法予以駁回,"[{'title': '本會函文', 'url': 'https://web.cec.gov.tw/upload/file/2019-09-04/5ca44dbf-538c-459f-a61a-cacb99ae38ea/73a6eeb41e75cfb8f50a86c135eaacf5.pdf'}]"
11,109/01/10,黃泰山領銜提出「你是否同意修改動物保護法，明定直轄市、縣(市)政府動保機關應全面執行誘捕、絕育在外活動之無主流浪貓狗。」全國性公民投票案,函知提案人之領銜人未依規定於期限內提出連署人名冊，視為放棄連署。,"[{'title': '本會函文', 'url': 'https://admin.cec.gov.tw/upload/file/2020-02-05/60e08cab-abe2-4bee-9c6c-e21fb729cc91/7770e20a8adceff443a81376365c0341.pdf'}]"
10,108/06/26,蔡中岳領銜提出「您是否同意，應在相關法律中增訂條文，實現以下原則：『高放射性核廢料最終處置場啟用前，我國不得提出或執行新建、續建、擴建或延役核電廠之計畫』？」全國性公民投票案,函通知提案人之領銜人，本案依法予以駁回,"[{'title': '本會函文', 'url': 'https://web.cec.gov.tw/upload/file/2019-07-02/e66ca4b5-a688-424a-a62c-7c6b15ab10e0/224e45079a5a85b3480fbc19e540bbd3.pdf'}]"
9,108/06/26,張靜領銜提出「您是否同意我國應該採取以美式陪審團審判制度為藍本的陪審制？」全國性公民投票案,函通知提案人之領銜人，本案依法予以駁回,"[{'title': '本會函文', 'url': 'https://web.cec.gov.tw/upload/file/2019-07-03/8e1e58ba-ecea-4ccf-978f-690705a74774/6f98f6395d788e75d4a27ef845db921b.pdf'}]"
10,108/06/25,呂秀蓮領銜提出「你是否同意台灣應向國際宣布和平中立？」全國性公民投票案,函通知提案人之領銜人，本案依法予以駁回,"[{'title': '本會函文', 'url': 'https://web.cec.gov.tw/upload/file/2019-07-03/496d4e36-2ad4-4f43-880c-602ac80c56f0/13a0f2e22998ae5c39c89a73422fbfdb.pdf'}]"
8,108/12/13,黃士修領銜提出「您是否同意核四啟封商轉發電？」全國性公民投票案,提報本會第537次委員會議審議,"[{'title': '委員會會議紀錄', 'url': 'https://web.cec.gov.tw/central/cms/meetingminutes/32142'}, {'title': '本會新聞稿', 'url': 'https://web.cec.gov.tw/central/cms/108news/31988'}, {'title': '成立公告', 'url': 'https://web.cec.gov.tw/referendum/cms/pv_proclam/31990'}]"
10,108/05/24,廖彥朋領銜提出「您是否同意，立法院應制定專法，使2030年以前達成核能發電比例不得低於燃煤發電？」全國性公民投票案,函通知提案人之領銜人，本案依法予以駁回,"[{'title': '中選會函', 'url': 'https://web.cec.gov.tw/upload/file/2019-05-30/8bcb5124-a9f7-452b-995a-8a0c7b36e115/db272f6a9c8d0067de7e207716ed87fa.pdf'}]"
12,108/10/14,高成炎領銜提出「你是否同意「廢止核四計畫，其廠址作為再生能源（地熱、海洋能、太陽能等）發電、觀光、研究、博物館等用途」的政策？」全國性公民投票案,函知提案人之領銜人未依規定於期限內提出連署人名冊，視為放棄連署。,"[{'title': '本會函文', 'url': 'https://web.cec.gov.tw/upload/file/2020-04-29/6111b192-8ded-4e16-a36a-8897596586bd/b5cf2672b8e3693b2e17c411093c3561.pdf'}]"
13,108/03/05,宋雲飛領銜提出「您是否同意：核四啟用商轉發電？」全國性公民投票案,函知提案人之領銜人未依規定於期限內提出連署人名冊，視為放棄連署。,"[{'title': '本會函文', 'url': 'https://web.cec.gov.tw/upload/file/2019-03-14/4608905c-8a8c-4cac-aa20-1808360684c7/d6a96bce43333f7d0fb2501dcc0cfeba.pdf'}]"
13,107/09/20,曹愛蘭領銜提出「請問您是否同意，政府應基於「性別工作平等法」所規定之工作或價值相同者，應給付同等薪資，訂定策略與期程，三年內徹底落實，第十條之相關規定事項。」全國性公民投票案,函知提案人之領銜人未依規定於期限內領取連署人名冊格式，視為放棄連署。,"[{'title': '本會函文', 'url': 'https://web.cec.gov.tw/upload/file/2019-03-14/e5e42338-29bf-4f7d-880d-2edcba4147b0/532f25029b13e9b21550cc2049741320.pdf'}]"
9,107/08/14,劉曜華領銜提出「你(妳)是否同意立法規範，禁止公開展示及懸掛代表中華人民共和國之五星旗幟？」全國性公民投票案,函通知提案人之領銜人，本案依法予以駁回。,"[{'title': '本會函文', 'url': 'https://web.cec.gov.tw/upload/file/2018-08-22/72e05c1e-3ab6-487f-a147-dac89576405f/8ee012058b269998778b906b309e4dba.pdf'}]"
7,108/01/04,江世明領銜提出「你(妳)是否同意，於『動物保護法』內增訂專章，設立專職的動物保護機制或警察？」全國性公民投票案,函知提案人之領銜人未依規定於期限內提出連署人名冊，視為放棄連署。,"[{'title': '本會函文', 'url': 'https://web.cec.gov.tw/upload/file/2019-01-23/b03f5966-0f9f-4ab6-9e02-4621cd8ce2d8/4ee5d74fb238f1366b7995366f65a9a7.pdf'}]"
